PID,Name of Project ,Description,Objectives,Project Highlight,Agroecological Zone,Region,District,Beneficiaries,"CSA Pillars (Productivity (food security), mitigation and adaptation)",System,Water Management ,Soil Nutrient and Land Management,Genetic Resources,Energy Management,Other Thematic Areas,CSA Technology
P524,Ghanaian Cocoa Farmers Benefit from Sustainability,,,,Rain forest,WNR ,Juaboso-Bia,"3,033 farms (covering 6,464 ha) ",Productivity,Crop Production,No,Yes ,No,No,No,
P525,"Identifying, testing and scaling small-scale irrigation options for enhanced livestock feed production",Characterization of ecological adaptation of chicken ecotypes and identification of farmers trait preferences,,,------------,---------------,----------------,,Productivity,Livestock Production,Yes,No,No,No,No,
P526,"Impact Of Irrigation On Agricultural Productivity, Nutrition, Health And Women’s Empowerment In Ghana
","In this project, women are given access to motor pumps, training, and access to credit and other agricultural inputs. Since women are responsible for dry season farming, the introduction of motor pumps will directly empower women by improving their access to and control over productive assets. It will also allow women to produce more high-value crops, which will increase income","In this project, women are given access to motor pumps, training, and access to credit and other agricultural inputs",,------------,-----------,---------,,Productivity,Crop Production,Yes,No,No,No,No,Motor Pumps
P527,Incubation to Entrepreneurship Project,"The project seeks to Increase income of 8,000 women 
(40%) and youth in the Tain, Kintampo North and 
Techiman North districts of the Brong Ahafo region 
through the establishment of economically viable and 
environmentally sustainable micro, small and medium 
enterprises (MSMEs).","1. Increasing entrepreneurial drive and aptitude of 15,000 women and youth;
2. Improving access to business development services to 15,000 youth and women entrepreneurs in the cassava and poultry value chains and other agricultural and nonagricultural economic activities. 
3. Improving access to input and output markets and financial services for 8,000 youth and women entrepreneurs.
4. Setting up business networks using ICT and virtual platforms for 12,000 MSMEs for learning, access to information, business-to-business linkages and advocacy.","The project seeks to Increase income of 8,000 women 
(40%) and youth in the Tain, Kintampo North and 
Techiman North districts of the Brong Ahafo region 
through the establishment of economically viable and 
environmentally sustainable micro, small and medium 
enterprises (MSMEs). ","Guinea Savanna, Transitional Zone",BAR,"Tain, Kintampo North and 
Techiman North districts","50,000 persons consisting of the families of the 15,000 
women and youth entrepreneurs are beneficaries
of this project. ",Productivity,Crop/Livestock Production ,No,No,No,No,Yes - Sustainable food systems and value chains,
P528,Landscape and Environmental Agility across the Nation (LEAN) Project,"The LEAN project is a 4-year intervention that seeks to directly support national efforts to conserve biodiversity, improve the livelihoods of small-scale farmers, build climate resilience, and reduce emissions from land-use changes across Ghana’s savannah, high forest, and transition zones.","1. To facilitate the mechanisms that will help the landscapes become sustainable and self-sustaining over the long term by working with companies, government, and communities.
2. To use LandScale, a multi-stakeholder assessment framework, reporting platform, and verification mechanism, to help drive landscape-scale sustainability across the three landscapes.
3. To build evidence of scalable Integrated Landscape Management (ILM) models and a business case for broader investment.","The overall objective of the project is to directly contribute to the national efforts of conserving biodiversity, improving the livelihoods of smallholder farmers, increasing climate change resilience, and reducing emissions from land use changes in the savannah, high forest, and transition zones of Ghana.","Guinea Savanna, Transitional Zone, Sudan Savanna, High Forest Zone","SR, UER, AR, BER, WNR","

West Gonja, Kassena-Nankana West, Offinso Municipal, Offinso North, Techiman North, Nkoranza North, Nkoranza South, Sefwi Wiawso Municipal
Bibiani-Anhwiaso-Bekwai Municipal, Bodi district,  Akontombra district","36,000 smallholders farmers, 250,000 ha of land are under improved management, and 
10,000 ha of degraded land is restored.
","Productivity, Adaptation, Mitigation",Crop Production,No,No,No,No,Yes - Sustainable forest management (SFM) ,
P529,Landscape and Environmental Agility across the Nation (LEAN) Project,"The LEAN project is a 4-year intervention that seeks to directly support national efforts to conserve biodiversity, improve the livelihoods of small-scale farmers, build climate resilience, and reduce emissions from land-use changes across Ghana’s savannah, high forest, and transition zones.","1. To facilitate the mechanisms that will help the landscapes become sustainable and self-sustaining over the long term by working with companies, government, and communities.
2. To use LandScale, a multi-stakeholder assessment framework, reporting platform, and verification mechanism, to help drive landscape-scale sustainability across the three landscapes.
3. To build evidence of scalable Integrated Landscape Management (ILM) models and a business case for broader investment.","The overall objective of the project is to directly contribute to the national efforts of conserving biodiversity, improving the livelihoods of smallholder farmers, increasing climate change resilience, and reducing emissions from land use changes in the savannah, high forest, and transition zones of Ghana.","Guinea Savanna, Transitional Zone, Sudan Savanna, High Forest Zone","SR, UER, AR, BER, WNR","

West Gonja, Kassena-Nankana West, Offinso Municipal, Offinso North, Techiman North, Nkoranza North, Nkoranza South, Sefwi Wiawso Municipal
Bibiani-Anhwiaso-Bekwai Municipal, Bodi district,  Akontombra district","36,000 smallholders farmers, 250,000 ha of land are under improved management, and 
10,000 ha of degraded land is restored.
","Productivity, Adaptation, Mitigation",Crop Production,No,No,No,No,Yes - Sustainable forest management (SFM) ,
P530,Northern Ghana Integrated Development Project (NGIDP),"The project intends to improve the resilience to climate change, promote sustainable employment opportunities, decent work and access to social protection schemes.","The project intends to improve the resilience to climate change, promote sustainable employment 
opportunities, decent work and access to social protection schemes. ","The project will start to increase the capacity of Civil 
Society Organisations (CSOs) and networks of 
smallholder farmers. It will also give them financial 
support to scale up and consolidate their work, and will 
provide innovative extension services for smallholder 
farmers. ",Guinea Savanna,"UER, SR, NR2",No,,Productivity,Crop Production,No,Yes,No,No,No,
P531,Power to the Fishers: Empowering fishing communities,"The overall objective of the project is to enhance the 
socio-economic livelihoods of fishing communities 
within selected districts of the coastal savannah 
zones of Ghana. ",The overall objective of the project is to enhance the socio-economic livelihoods of fishing communities within selected districts of the coastal savannah zones of Ghana. ,"This initiative aims at directly targeting 80,000 fish 
value chain actors mainly fishmongers and 
fishermen. ","Sudan Savanna, Rain forest","CR, WR 2","Awutu Senya East, Effutu Municipal, Ekumfi, Gomoa West and Shama.",,,Fisheries and Aquaculture ,No,No,No,No,Yes - Fish Processing,
P532,"Promoting Agriculture, Poverty Reduction and Livelihood Improvement in Ghana (SAPRELIG or SIP 2) Phase II",,,,Guinea Savanna,No, Sissla East and West,,,Crop Production,,,,,,
P533,"Promoting Sustainable Agriculture, Poverty Reduction and Livelihood Improvement in the Sissala and East Districts in Ghana",,,,Guinea Savanna,No, Sissla East and West,,,Crop Production,,,,,,
P534,Reversing Land Degradation in Africa by Scaling-up Evergreen Agriculture Project,"The project is focused on reversing land 
degradation by scaling up evergreen agriculture 
practices, including Farmer Managed Natural 
Regeneration (FMNR), agroforestry, 
strengthening local institutions to support 
bushfires management and grazing lands 
management. ","1. Enhance national ability of selected countries to assess economic costs of land 
degradation and enhanced awareness on the economic benefits of investment 
in SLM.
2. Equip eight countries with surveillance and analytic tools on land degradation 
dynamics, including the social and economic dimensions, to support strategic 
decision making and monitoring for the scaling-up of evergreen agriculture.
3. Support up to 8 countries in the accelerated scaling-up of evergreen 
agriculture using locally appropriate techniques including Farmer-Managed 
Natural Regeneration (FMNR), tree planting and other forms of agroforestry
along with the development of agroforestry value chains.","To improve livelihoods, food security and resilience to climate change by 
smallholder farmers in Africa and restore ecosystem services, particularly through 
agroforestry and other proven techniques.",Guinea Savanna,"NR2, UER","Garu  Tempane, Bawku West, Mion  ","80,000 hectares and  40,000 households","Productivity, Adaptation, Mitigation",Crop Production,No,No,No,No,Yes - Land Degradration,Agroforestry
P535,SOILS-Space to Place,Improvement of the policy and regulatory environment,"1. Improved soil fertility and plant nutrient management technologies and practices made avaliable for disssemination by IFDC and other public and private sector actors.
2. Supporting policy reforms and market development.
3. Cross cutting issues including learning and knowledge management and sharing. ","The RFS-SFT project focuses on bridging the gap between scientific research and technology dissemination to smallholder farmers in FTF countries by developing more nutrient-efficient, profitable soil fertility technologies, supported by influencing markets and policies, and local capacity strengthening capacities, leading to improved livelihoods.",Guinea Savanna,NR1 ,No,,"Productivity, Adaptation, Mitigation",Crop Production,No,Yes,No,No,No,
P536,Sustainable farming system extension in northern Ghana project,The sustainable Farming Systems Extension (FASE) is one of the five components of the Agriculture and Natural Resources (ANR) Management Programme that is being implemented by CARE International Ghana. The ANR programme seeks to contribute to poverty reduction in Ghana through sustainable livelihood for poor and marginalized rural families who depend primarily upon natural resources.,,,"Guinea Savanna, Transitional Zone, Sudan Savanna","NER, UER, UWR, BER"," East Mamprusi, Builsa, Garu Tempane and Lawra Districts, Techiman and Bawku municipal Assemblies",,,Crop Production,,,,,,
P537,"Sustainable Food Production, Income Generation and Poverty Reduction in Ghana (SIP)",,,,---------------,------------,------------,,,Crop Production,,,,,,
P538,"Sustainable Food Production, Income Generation and Poverty Reduction though Modernised Guinea-fowl and Pig Production in the Upper West Region",,,,"Guinea Savanna, Sudan Savanna",UWR,---------------,,,Livestock Production,,,,,,
P539,Sustainable Livelihoods Project,"The project “Sustainable Livelihoods” aims to contribute at reducing the economic, social and climate change-related vulnerability of rural communities living in Ghana’s savannah ecosystem region.","The project aims to contribute at reducing the economic, social and climate change-related vulnerability of rural communities living in Ghana’s savannah ecosystem region.","The project linked sustainable rural 
development with social protection, 
employment and job opportunities.","Sudan Savanna, Guinea Savanna","UER, UWR, NR1",No,,Productivity,Crop Production,No,Yes,No,No,No,
P540,Sustainable Poverty Reduction In Northern Ghana,"SPRING is aimed at maximising existing opportunities around food production, food security and incomes as well as looking new opportunities in these areas.",,,"Guinea Savanna, Sudan Savanna","NR2, UWR",No,,,Crop/Livestock Production,No,Yes,Yes,No,No,
P541,Sustainable West Africa Oil Palm Programme (SWAPP),"SWAPP will scale up sustainable improvements developed in the small and medium enterprises (SMEs) sub-sector through the large-scale adoption of the sustainable intensification of oil palm cultivation and Fresh Fruit Bunches (FFB) processing through active private sector participation.
","The main goal of SWAPP was to improve the livelihoods of farmers, millers, and other stakeholders in the 
palm oil supply chains in Ghana, Côte d’Ivoire, Liberia, and Sierra Leone.","The Sustainable West Africa Palm Oil Programme (SWAPP) was set up to improve the livelihoods of farmers, 
millers, and other actors in the palm oil supply chains of Ghana, Côte d’Ivoire, Liberia, and Sierra Leone. This 
was done via sustainable intensification of oil palm production and Fresh Fruit Bunch (FFB) processing.","Sudan Savanna, Semi-deciduous forest, Transitional Zone, Rain Forest.","CR, ER, AR, WR2",No,"19,176 small holder farmer",Productivity,Crop Production,No,No,No,No,Yes - Sustainable Intensification,"Slashing, pruning, cleaning farm circle, harvesting every two weeks."
P542,"Technologies for African Agricultural Transformation (TAAT): Soil Fertility Enabler
","Development and support of dissemination and adoption mechanisms.
","1. Facilitate a responsive private sector-led input delivery system to support the scaling up of agricultural input-based technologies.
2. Establishment of Regional Technology Delivery Infrastructure.
3. Deployment of Transformative Agro-Input Technologies.
",The TAAT program’s goal is to radically transform African subsistence-based agriculture to agriculture as entrepreneurship and business to support the “Feed Africa” pillar of the African Development Bank’s agricultural development strategy,--------,---------,-----------,,Productivity,Crop Production,No,Yes,No,No,No,"urea deep placement, microdosing"
P543,The Competitive African Rice Initiative (CARI)/ Growing Rice Opportunity For Women (GROW),"The overarching objective of the project is to contribute to poverty reduction and economic development by improving household incomes, food security, and employment of beneficiaries across the rice value chain; especially women entrepreneurs who carry out par boiling processing of rice.","1. Knowledge management and cooperation.
2. Financial services.
3. Inclusive business models and productivity.
4. Policy advice.","The project aim at improving the livelihoods of smallholder rice 
farmers and sustainably integrating them into the rice 
value chain. ",Sudan Savanna,"UER,","Bongo district, Bolgatanga, and Kassena Nankana Municipalities","132,000 small holder farmers",Productivity,Crop Production,No,No,No,No,Yes - Sustainable food systems and value chains,"Intercropping, Animal manure, drainage,"
P544,"Transforming the livelihoods 
and lives of smallholder 
farmers in Africa
",,"1. Increased staple crop productivity for smallholder farmers. 
2. Strengthened and expanded access to output markets.
3. Increased capacity of smallholder farming households and agricultural systems to better prepare for and adopt to shocks and stresses. 
4. Strengthened continental, regional, and government multi-sectoral coordination and mutual accountability in the agriculture sector.","To catalyze and sustain inclusive agricultural transformation in Africa by increasing incomes and improving food security for 30 
million smallholder households in Africa, and to support countries on a pathway to attain and sustain agricultural transformation.",---------,---------,----------,"4.7 Million
Smallholder Farmers","Productivity, Adaptation, Mitigation",Crop Production,No,No,No,No,Yes - Integrated Production System,
P545,"Tropical Poultry Genetics Solutions (TPGS): Delivering farmer preferred, productive and ecologically adapted poultry to smallholders","This three-year project will run as part of the One CGIAR initiatives and will focus on seven interrelated outcome areas, namely: Characterization of ecological adaptation of chicken ecotypes and identification of farmers' trait preferences
Strengthening of existing partnerships and developing new ones
Establishment of breeding programs
Development and support of dissemination and adoption mechanisms
Improvement of the policy and regulatory environment
Tracking of program impacts
Establishment and of operationalization of the Tropical Poultry Platform (TROP).","1. Characterize chicken ecotypes and farmer preferences.
2. Develop partnerships and breeding approaches.
3. Develop and test dissemination mechanisms.
4. Improve the policy and regulatory environment and track program ​impacts.
5. Establishing the Tropical Poultry Platform (TROP)
","This three-year project will run as part of the One CGIAR initiatives and will focus on seven interrelated outcome areas, namely: Characterization of ecological adaptation of chicken ecotypes and identification of farmers' trait preferences
Strengthening of existing partnerships and developing new ones
Establishment of breeding programs
Development and support of dissemination and adoption mechanisms
Improvement of the policy and regulatory environment
Tracking of program impacts
Establishment and of operationalization of the Tropical Poultry Platform (TROP).",--------,-----------,------------,,Productivity,Livestock Production,No,No,No,No,No,Improved varieties.
P546,USDA Ghana Poultry Project (GPP),"The USDA-sponsored Ghana Poultry Project increased targeted sector commercial performance by building coordination between firms, promoting the adoption of quality standards, strengthening business planning and market-penetration strategies, and reinforcing buyer-supplier linkages.","1. Facilitating coordination among firms in the poultry sector
2. Promoting adoption of quality standards
3. Strengthening business planning and market penetration strategies
4. Re-enforcing buyer-supply linkages
5. Building capacity of stakeholders ","The Ghana Poultry Project (GPP) increases 
the competitiveness of domestic production and 
processing of poultry meat and eggs in Ghana.","Sudan Savanna, Transitional Zone, Semi-deciduous forest","AR 

BR

GR","Atwima Nwabiagya, Atwima Kwanwoma, Ejisu Juabeng, Ofinso South, Kumasi Metro, Ofinso North, Ejura Sekyidumasi

Dormaa, Berekum, Techiman, Nkoranza, Sunyani, wenchi

Ga East, Ga South, Tema, Accra Metro, Dangbe East, Ada West
","4,618 direct beneficiaries",Productivity,Livestock Production,No,No,No,No,Yes - Poultry Value Chain,Improved varieties
P547,Volta Basin Development Challenge: integrated management of rainwater for crop-livestock agro-ecosystems,"Integrated management of rainwater and small 
reservoirs for multiple uses","1. Increase crop and livestock productivity through best fit Rainwater Management Strategies (RMS) to be identified, evaluated and disseminated.
2. Improve water productivity at farm level.
3. Increase the capacity of various actors through innovation platforms to access and use relevant knowledge on rainwater management.
","Improving rainwater and small reservoir management in 
Burkina Faso and northern Ghana to contribute to 
poverty reduction and improved livelihoods resilience 
while taking into account downstream and upstream 
water users including ecosystem services.","Sudan Savanna, Guinea Savanna","NR1, UWR","Tolon-kumbungu, Lawra",,"Productivity, Adaptation",Crop/Livestock Production,Yes,No,No,No,No,"mixed crop-livestock system, Tied ridges, 
contour bunds, organic and inorganic fertilizer"
P548,"Women's Agripreneurship
Sustainability & Scale- Up Project","The project is connecting women farmers in the Upper Manya Krobo
Districts, Lower Manya Krobo Municipality and Yilo Krobo Municipality to the expertise and markets they need to grow
their businesses. ",,,Transition Zone,ER,"Upper Manya Krobo
Districts, Lower Manya Krobo Municipality and Yilo Krobo Municipality ",,Productivity,Crop Production,No,No,No,No,Yes - Sustainable food systems and value chains,
P549,"Accessible Soils and
 Sustainable
 Environments (ASASE)","The Accessible Soils And Sustainable Environments 
(ASASE) project is a four-year project in the Ghanaian cocoa landscape. It is co-funded by the Netherlands Enterprise Agency (RVO) as part of the Sustainable Development Goals Partnership (SDGP). Driven by a belief that a thriving, climate-smart cocoa sector is possible, this project will work with 5,000 farmers in two of Ghana’s main cocoa producing areas: the Ashanti and Eastern regions. Using a landscape approach, the ASASE project moves away from the traditional focus on the direct supply chain and instead intervenes on 3 levels: working together with cocoa farmers, their rural communities and in local forest remnants.","Support the transition from cocoa production as a driver of deforestation, forest fragmentation and 
degradation to environmentally sustainable and economically viable zero-deforestation cocoa production models that enhance the resilience of smallholder farmers livelihood in key Ghanaian cocoa growing landscapes.","The Accessible Soils and Sustainable Environments (ASASE) project is a model featuring six different 
interventions on and off cocoa farms. Together, the six elements represent a model which supports 
farmers in producing sustainable cocoa, mitigates the effects of climate change and ensures that 
cocoa becomes a crop that benefits rather than harms the environment.","Transitional Zone, Semi-deciduous Zone","AR, ER",,"3,000 small holder
farmers, 30 hectares ","Adaptation, Mitigation","Crop 
Production",No,No,No,No,"Yes - sustainable 
food systems and value chains",Agroforestry
P550,"Farmer Managed Natural
 Regeneration in Ghana","FMNR is a low-cost, innovative technique to restore
 and regenerate trees from the stumps of previously cut-down (but still living) trees. The project goal was  to restore hundreds of hectares of degraded land, countering the challenges of soil erosion and water retention.","1. summarise project impact and the magnitude of 
individual outcomes;
2. evidence the utility of the FMNR approach and 
complementary techniques; and
3. demonstrate the potential of applying SROI to 
international community development projects.",The project focused on restoring multipurpose indigenous trees to farmland and communitymanaged forests.,"Transitional Zone, Sudan Savanna","ER,UER",Talensi district,"12,000 people in 1,472 households.","Productivity, Adaptation, Mitigation","Crop 
Production",Yes,Yes,No,Yes,No,"Agroforestry, bulk composting, field mulching, and ox ploughing"
P551,"Ghana: Northern Region
 Poverty Reduction Programme","Programme components include two broad lines 
of support: (i) operational support and
capacity building to ensure that processes, services and resource flows function effectively; 
and (ii) a Community Development Fund to finance community-driven action plans.","1. Operational support and capacity building to ensure that processes, services and resource  flows function effectively.
2. A Community Development Fund to finance community-driven action plans.",,Guinea Savanna,NR2,All district,,Productivity,,,,,,,
P552,"DEVELOPING BIOPESTICIDES TO
REMOVE THE NEED FOR COLD
STORAGE","This project looked at developing processes to
make more robust biopesticides that can survive for longer at African ambient
temperatures and produced more efficiently. ",,"This project looked at developing processes to
make more robust biopesticides that can survive for longer at African ambient
temperatures and produced more efficiently. ",-----------,----------,----------,,Productivity,"Crop 
Production",No,Yes,No,No,No,Biopesticide
